sentence,tokens,labels
"It was then exhibited with the Cubists at Galeries Dalmau 's `` Exposició d'Art Cubista `` , in Barcelona , 20 April–10 May 1912 .","['It' 'was' 'then' 'exhibited' 'with' 'the' 'Cubists' 'at' 'Galeries'
 'Dalmau' ""'s"" '``' 'Exposició' ""d'Art"" 'Cubista' '``' ',' 'in'
 'Barcelona' ',' '20' 'April–10' 'May' '1912' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Terra Nova Bay is a bay which is often ice free , about long , lying between Cape Washington and the Drygalski Ice Tongue along the coast of Victoria Land , Antarctica .","['Terra' 'Nova' 'Bay' 'is' 'a' 'bay' 'which' 'is' 'often' 'ice' 'free' ','
 'about' 'long' ',' 'lying' 'between' 'Cape' 'Washington' 'and' 'the'
 'Drygalski' 'Ice' 'Tongue' 'along' 'the' 'coast' 'of' 'Victoria' 'Land'
 ',' 'Antarctica' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0]
The two adopted a baby girl later that year .,['The' 'two' 'adopted' 'a' 'baby' 'girl' 'later' 'that' 'year' '.'],[0 0 0 0 0 0 0 0 0 0]
"To the north the Rasletind , Kalvehøgde , Torfinnstindene and Galdebergstind mountains dominates the view , and to the west you can see the forbidding spire of Falketind .","['To' 'the' 'north' 'the' 'Rasletind' ',' 'Kalvehøgde' ','
 'Torfinnstindene' 'and' 'Galdebergstind' 'mountains' 'dominates' 'the'
 'view' ',' 'and' 'to' 'the' 'west' 'you' 'can' 'see' 'the' 'forbidding'
 'spire' 'of' 'Falketind' '.']",[0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"FS Comae Berenices is a semi-regular variable , a red giant with a period of about two months whose magnitude varies between 6.1 and 5.3 .","['FS' 'Comae' 'Berenices' 'is' 'a' 'semi-regular' 'variable' ',' 'a' 'red'
 'giant' 'with' 'a' 'period' 'of' 'about' 'two' 'months' 'whose'
 'magnitude' 'varies' 'between' '6.1' 'and' '5.3' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Meanwhile , Tkuma decided to run together with the Jewish Home .","['Meanwhile' ',' 'Tkuma' 'decided' 'to' 'run' 'together' 'with' 'the'
 'Jewish' 'Home' '.']",[0 0 0 0 0 0 0 0 0 0 0 0]
"After German troops invaded in July 1941 , and the region where she lived was ceded to the Soviet Union in 1940 , the family was forced to relocate to the city 's ghetto .","['After' 'German' 'troops' 'invaded' 'in' 'July' '1941' ',' 'and' 'the'
 'region' 'where' 'she' 'lived' 'was' 'ceded' 'to' 'the' 'Soviet' 'Union'
 'in' '1940' ',' 'the' 'family' 'was' 'forced' 'to' 'relocate' 'to' 'the'
 'city' ""'s"" 'ghetto' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
Bhd .,['Bhd' '.'],[0 0]
The trek to Manaslu Base Camp is a remote and less crowded alternative to the more popular Everest Base Camp trek.,"['The' 'trek' 'to' 'Manaslu' 'Base' 'Camp' 'is' 'a' 'remote' 'and' 'less'
 'crowded' 'alternative' 'to' 'the' 'more' 'popular' 'Everest' 'Base'
 'Camp' 'trek' '.']",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
Trout won the bout via unanimous decision .,['Trout' 'won' 'the' 'bout' 'via' 'unanimous' 'decision' '.'],[0 0 0 0 0 0 0 0]
"Though Coventry was a stronghold of puritanism , it was not so well content as were some of its preachers to witness the subversion of the monarchy .","['Though' 'Coventry' 'was' 'a' 'stronghold' 'of' 'puritanism' ',' 'it'
 'was' 'not' 'so' 'well' 'content' 'as' 'were' 'some' 'of' 'its'
 'preachers' 'to' 'witness' 'the' 'subversion' 'of' 'the' 'monarchy' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
A first variant of the new cartridge was officially adopted for service after completing range trials in December 1943 ; it was given the GRAU index 57-N-231 .,"['A' 'first' 'variant' 'of' 'the' 'new' 'cartridge' 'was' 'officially'
 'adopted' 'for' 'service' 'after' 'completing' 'range' 'trials' 'in'
 'December' '1943' ';' 'it' 'was' 'given' 'the' 'GRAU' 'index' '57-N-231'
 '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Safety Day tomorrow at North Phoenix ATA Kids SelfDefense class from 121 pm , Safety Presentation from 12 , Adult SelfDefense from 23","['Safety' 'Day' 'tomorrow' 'at' 'North' 'Phoenix' 'ATA' 'Kids'
 'SelfDefense' 'class' 'from' '121' 'pm' ',' 'Safety' 'Presentation'
 'from' '12' ',' 'Adult' 'SelfDefense' 'from' '23']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"That said , after winning the election , Konō immediately joined the IRAA .","['That' 'said' ',' 'after' 'winning' 'the' 'election' ',' 'Konō'
 'immediately' 'joined' 'the' 'IRAA' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"The state mint ( `` zecca '' ) and the treasury of Saint Mark 's Church were confiscated , while the Doge 's ceremonial galley , the Bucintoro , was denuded of all its sculptures , which were burned in the island of San Giorgio Maggiore to recover their gold leaf .","['The' 'state' 'mint' '(' '``' 'zecca' ""''"" ')' 'and' 'the' 'treasury'
 'of' 'Saint' 'Mark' ""'s"" 'Church' 'were' 'confiscated' ',' 'while' 'the'
 'Doge' ""'s"" 'ceremonial' 'galley' ',' 'the' 'Bucintoro' ',' 'was'
 'denuded' 'of' 'all' 'its' 'sculptures' ',' 'which' 'were' 'burned' 'in'
 'the' 'island' 'of' 'San' 'Giorgio' 'Maggiore' 'to' 'recover' 'their'
 'gold' 'leaf' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
It is situated on the banks of the Hathmati River among the Aravalli Hills .,"['It' 'is' 'situated' 'on' 'the' 'banks' 'of' 'the' 'Hathmati' 'River'
 'among' 'the' 'Aravalli' 'Hills' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 1 2 0]
"Terex put the Titan into service with Kaiser Steel at its iron mine at Eagle Mountain , California , in January 1975 .","['Terex' 'put' 'the' 'Titan' 'into' 'service' 'with' 'Kaiser' 'Steel' 'at'
 'its' 'iron' 'mine' 'at' 'Eagle' 'Mountain' ',' 'California' ',' 'in'
 'January' '1975' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0]
"As such , the majority of the album consists of Jenkinson 's own version of jazz fusion , threaded through with classical guitar , math rock and funk recordings .","['As' 'such' ',' 'the' 'majority' 'of' 'the' 'album' 'consists' 'of'
 'Jenkinson' ""'s"" 'own' 'version' 'of' 'jazz' 'fusion' ',' 'threaded'
 'through' 'with' 'classical' 'guitar' ',' 'math' 'rock' 'and' 'funk'
 'recordings' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Though outdoor concerts have been held at Bald Hill since as far back as 1965 , the current amphitheater was built in the late 1980s ( replacing earlier portable and simpler stages ) on the location of the former Bald Hill Ski Bowl , and modeled after venues such as the PNC Bank Arts Center in New Jersey .","['Though' 'outdoor' 'concerts' 'have' 'been' 'held' 'at' 'Bald' 'Hill'
 'since' 'as' 'far' 'back' 'as' '1965' ',' 'the' 'current' 'amphitheater'
 'was' 'built' 'in' 'the' 'late' '1980s' '(' 'replacing' 'earlier'
 'portable' 'and' 'simpler' 'stages' ')' 'on' 'the' 'location' 'of' 'the'
 'former' 'Bald' 'Hill' 'Ski' 'Bowl' ',' 'and' 'modeled' 'after' 'venues'
 'such' 'as' 'the' 'PNC' 'Bank' 'Arts' 'Center' 'in' 'New' 'Jersey' '.']","[0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"The first accurate measurement of the gravitational redshift of a white dwarf was done by Popper in 1954 , measuring a 21 km/sec gravitational redshift of 40 Eridani B .","['The' 'first' 'accurate' 'measurement' 'of' 'the' 'gravitational'
 'redshift' 'of' 'a' 'white' 'dwarf' 'was' 'done' 'by' 'Popper' 'in'
 '1954' ',' 'measuring' 'a' '21' 'km/sec' 'gravitational' 'redshift' 'of'
 '40' 'Eridani' 'B' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"He later achieved the rank of corporal , and was demobilised in 1919 .","['He' 'later' 'achieved' 'the' 'rank' 'of' 'corporal' ',' 'and' 'was'
 'demobilised' 'in' '1919' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"The Pennsylvania Renaissance Faire is a Renaissance fair occurring over 13 weekends from early-August through late-October on the grounds of the Mount Hope Estate and Winery in Manheim , Pennsylvania .","['The' 'Pennsylvania' 'Renaissance' 'Faire' 'is' 'a' 'Renaissance' 'fair'
 'occurring' 'over' '13' 'weekends' 'from' 'early-August' 'through'
 'late-October' 'on' 'the' 'grounds' 'of' 'the' 'Mount' 'Hope' 'Estate'
 'and' 'Winery' 'in' 'Manheim' ',' 'Pennsylvania' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0]
Testimony then turned to the use of flumazenil ( a benzodiazepine antagonist ) as an antidote to Ativan .,"['Testimony' 'then' 'turned' 'to' 'the' 'use' 'of' 'flumazenil' '(' 'a'
 'benzodiazepine' 'antagonist' ')' 'as' 'an' 'antidote' 'to' 'Ativan' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
He said Rihanna all low toned and shit Prolly the first time he said her names in AGES LMFAOOOOO,"['He' 'said' 'Rihanna' 'all' 'low' 'toned' 'and' 'shit' 'Prolly' 'the'
 'first' 'time' 'he' 'said' 'her' 'names' 'in' 'AGES' 'LMFAOOOOO']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"In October 2011 , a team of French mountaineers from the French Army 's Groupe Militaire de Haute Montagne announced the first crossing of the Cordillera Darwin in a 29-day trip which included an ascent of Mount Darwin , the highest peak in the range .","['In' 'October' '2011' ',' 'a' 'team' 'of' 'French' 'mountaineers' 'from'
 'the' 'French' 'Army' ""'s"" 'Groupe' 'Militaire' 'de' 'Haute' 'Montagne'
 'announced' 'the' 'first' 'crossing' 'of' 'the' 'Cordillera' 'Darwin'
 'in' 'a' '29-day' 'trip' 'which' 'included' 'an' 'ascent' 'of' 'Mount'
 'Darwin' ',' 'the' 'highest' 'peak' 'in' 'the' 'range' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1
 2 0 0 0 0 0 0 0 0]"
"In 1988 , as part of the Cumberland Presbyterian Church middle judicatory realignment , this Cumberland Presbytery was dissolved only to be reformed as a much larger presbytery .","['In' '1988' ',' 'as' 'part' 'of' 'the' 'Cumberland' 'Presbyterian'
 'Church' 'middle' 'judicatory' 'realignment' ',' 'this' 'Cumberland'
 'Presbytery' 'was' 'dissolved' 'only' 'to' 'be' 'reformed' 'as' 'a'
 'much' 'larger' 'presbytery' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Old Glory is situated immediately south of the junction of U.S. Highway 380 and FM 1835 in eastern Stonewall County , between the Double Mountain Fork and the Salt Fork Brazos River .","['Old' 'Glory' 'is' 'situated' 'immediately' 'south' 'of' 'the' 'junction'
 'of' 'U.S.' 'Highway' '380' 'and' 'FM' '1835' 'in' 'eastern' 'Stonewall'
 'County' ',' 'between' 'the' 'Double' 'Mountain' 'Fork' 'and' 'the'
 'Salt' 'Fork' 'Brazos' 'River' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 2 0 0 0 0 0 0 0]
He is recognized as the first scientist to perform extensive exploration of the Julian Alps .,"['He' 'is' 'recognized' 'as' 'the' 'first' 'scientist' 'to' 'perform'
 'extensive' 'exploration' 'of' 'the' 'Julian' 'Alps' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0]
Canyon de Chelly is one of the most visited national monuments in the United States .,"['Canyon' 'de' 'Chelly' 'is' 'one' 'of' 'the' 'most' 'visited' 'national'
 'monuments' 'in' 'the' 'United' 'States' '.']",[1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0]
The governor 's residence moved to its present site on Malabar Hill in 1885 and the property was used by the Bombay Presidency Recorders .,"['The' 'governor' ""'s"" 'residence' 'moved' 'to' 'its' 'present' 'site'
 'on' 'Malabar' 'Hill' 'in' '1885' 'and' 'the' 'property' 'was' 'used'
 'by' 'the' 'Bombay' 'Presidency' 'Recorders' '.']",[0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0]
The town was liberated on 24 November 1877 by Russian forces under Joseph Vladimirovich Gourko during the Russo-Turkish War of 1877-78 and served as a governing centre for the 40-day winter march of the Balkan Mountains of the Imperial Russian Army .,"['The' 'town' 'was' 'liberated' 'on' '24' 'November' '1877' 'by' 'Russian'
 'forces' 'under' 'Joseph' 'Vladimirovich' 'Gourko' 'during' 'the'
 'Russo-Turkish' 'War' 'of' '1877-78' 'and' 'served' 'as' 'a' 'governing'
 'centre' 'for' 'the' '40-day' 'winter' 'march' 'of' 'the' 'Balkan'
 'Mountains' 'of' 'the' 'Imperial' 'Russian' 'Army' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0
 0 0 0 0 0]"
Frontier City was later sold along with several other smaller Six Flags parks to PARC Management .,"['Frontier' 'City' 'was' 'later' 'sold' 'along' 'with' 'several' 'other'
 'smaller' 'Six' 'Flags' 'parks' 'to' 'PARC' 'Management' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"In 2010 , MTYP received the Human Rights Commitment Award for `` promoting human rights and social transformation for almost 30 years .","['In' '2010' ',' 'MTYP' 'received' 'the' 'Human' 'Rights' 'Commitment'
 'Award' 'for' '``' 'promoting' 'human' 'rights' 'and' 'social'
 'transformation' 'for' 'almost' '30' 'years' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"The 1900 Galveston hurricane subsequently devastated that city , killing about 8,000 people or possibly as many as 12,000 .","['The' '1900' 'Galveston' 'hurricane' 'subsequently' 'devastated' 'that'
 'city' ',' 'killing' 'about' '8,000' 'people' 'or' 'possibly' 'as' 'many'
 'as' '12,000' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
All language packs have in common English ( or a locally relevant dialect of it ) .,"['All' 'language' 'packs' 'have' 'in' 'common' 'English' '(' 'or' 'a'
 'locally' 'relevant' 'dialect' 'of' 'it' ')' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"The style of the frescos is that of the Palaiologan Renaissance , which came up in the 13th century and is characterised by the revival of ancient forms with iconographic innovations .","['The' 'style' 'of' 'the' 'frescos' 'is' 'that' 'of' 'the' 'Palaiologan'
 'Renaissance' ',' 'which' 'came' 'up' 'in' 'the' '13th' 'century' 'and'
 'is' 'characterised' 'by' 'the' 'revival' 'of' 'ancient' 'forms' 'with'
 'iconographic' 'innovations' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
John Forrest climbed Toolbrunup in 1881 with Henry Samuel Ranford and made a cairn at the summit .,"['John' 'Forrest' 'climbed' 'Toolbrunup' 'in' '1881' 'with' 'Henry'
 'Samuel' 'Ranford' 'and' 'made' 'a' 'cairn' 'at' 'the' 'summit' '.']",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
Is all done getting things set up for the Ultimate Magic playtest that starts on Monday Ca nt wait to see what people think,"['Is' 'all' 'done' 'getting' 'things' 'set' 'up' 'for' 'the' 'Ultimate'
 'Magic' 'playtest' 'that' 'starts' 'on' 'Monday' 'Ca' 'nt' 'wait' 'to'
 'see' 'what' 'people' 'think']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Piz Minschuns ( Romansh ) or Schafberg ( German ) is a mountain in the Fallaschkamm mountains , a subgroup of the Ortler Alps , more precisely on the eastern edge of the `` Val Costainas `` , located on the border between Italy and Switzerland .","['Piz' 'Minschuns' '(' 'Romansh' ')' 'or' 'Schafberg' '(' 'German' ')'
 'is' 'a' 'mountain' 'in' 'the' 'Fallaschkamm' 'mountains' ',' 'a'
 'subgroup' 'of' 'the' 'Ortler' 'Alps' ',' 'more' 'precisely' 'on' 'the'
 'eastern' 'edge' 'of' 'the' '``' 'Val' 'Costainas' '``' ',' 'located'
 'on' 'the' 'border' 'between' 'Italy' 'and' 'Switzerland' '.']","[1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 2 0
 0 0 0 0 0 0 0 0 0 0]"
"Stagpoole was about 25 years old , and a Drummer in the 57th Regiment of Foot ( later The Middlesex Regiment ( Duke of Cambridge 's Own ) , during the Second Taranaki War campaign of the New Zealand Wars when the following deed took place on 2 October 1863 at Allan 's Hill near Poutoko in Taranaki , for which he and Ensign John Thornton Down were awarded the VC , and a separate incident at Kaipakopako for which he was awarded the Distinguished Conduct Medal :","['Stagpoole' 'was' 'about' '25' 'years' 'old' ',' 'and' 'a' 'Drummer' 'in'
 'the' '57th' 'Regiment' 'of' 'Foot' '(' 'later' 'The' 'Middlesex'
 'Regiment' '(' 'Duke' 'of' 'Cambridge' ""'s"" 'Own' ')' ',' 'during' 'the'
 'Second' 'Taranaki' 'War' 'campaign' 'of' 'the' 'New' 'Zealand' 'Wars'
 'when' 'the' 'following' 'deed' 'took' 'place' 'on' '2' 'October' '1863'
 'at' 'Allan' ""'s"" 'Hill' 'near' 'Poutoko' 'in' 'Taranaki' ',' 'for'
 'which' 'he' 'and' 'Ensign' 'John' 'Thornton' 'Down' 'were' 'awarded'
 'the' 'VC' ',' 'and' 'a' 'separate' 'incident' 'at' 'Kaipakopako' 'for'
 'which' 'he' 'was' 'awarded' 'the' 'Distinguished' 'Conduct' 'Medal' ':']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
changed mii twitta name i wass really on mii nerd floww todaii them glasses are the best nerd glasses on deck now time for church,"['changed' 'mii' 'twitta' 'name' 'i' 'wass' 'really' 'on' 'mii' 'nerd'
 'floww' 'todaii' 'them' 'glasses' 'are' 'the' 'best' 'nerd' 'glasses'
 'on' 'deck' 'now' 'time' 'for' 'church']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
A statement not of blind faith but of uncompromising dedication and idealism : we will do what is right and take whatever the consequences .,"['A' 'statement' 'not' 'of' 'blind' 'faith' 'but' 'of' 'uncompromising'
 'dedication' 'and' 'idealism' ':' 'we' 'will' 'do' 'what' 'is' 'right'
 'and' 'take' 'whatever' 'the' 'consequences' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"`` The French Laundry Cookbook `` is in its sixteenth printing and has been printed over 400,000 times .","['``' 'The' 'French' 'Laundry' 'Cookbook' '``' 'is' 'in' 'its' 'sixteenth'
 'printing' 'and' 'has' 'been' 'printed' 'over' '400,000' 'times' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"However , the PNI refused to join the body , making it ineffective .","['However' ',' 'the' 'PNI' 'refused' 'to' 'join' 'the' 'body' ',' 'making'
 'it' 'ineffective' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Xiyang County ( ) is a county in the east of Shanxi province , China , bordering Shanxi province to the east .","['Xiyang' 'County' '(' ')' 'is' 'a' 'county' 'in' 'the' 'east' 'of'
 'Shanxi' 'province' ',' 'China' ',' 'bordering' 'Shanxi' 'province' 'to'
 'the' 'east' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
Mannerheim met Thubten Gyatso in Wutai Shan during the course of his expedition from Turkestan to Peking .,"['Mannerheim' 'met' 'Thubten' 'Gyatso' 'in' 'Wutai' 'Shan' 'during' 'the'
 'course' 'of' 'his' 'expedition' 'from' 'Turkestan' 'to' 'Peking' '.']",[0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0]
The Pine Creek Rail Trail is a rail trail in the Appalachian Mountains of north-central Pennsylvania .,"['The' 'Pine' 'Creek' 'Rail' 'Trail' 'is' 'a' 'rail' 'trail' 'in' 'the'
 'Appalachian' 'Mountains' 'of' 'north-central' 'Pennsylvania' '.']",[0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0]
"He also spoke about the revolts that put an end to it in Massalia , Istros , Heraclea and Cnido ) .","['He' 'also' 'spoke' 'about' 'the' 'revolts' 'that' 'put' 'an' 'end' 'to'
 'it' 'in' 'Massalia' ',' 'Istros' ',' 'Heraclea' 'and' 'Cnido' ')' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
"Gyachung Kang, located in the Himalayas, offers breathtaking views and challenging trails for seasoned trekkers looking to push their limits.","['Gyachung' 'Kang' ',' 'located' 'in' 'the' 'Himalayas' ',' 'offers'
 'breathtaking' 'views' 'and' 'challenging' 'trails' 'for' 'seasoned'
 'trekkers' 'looking' 'to' 'push' 'their' 'limits' '.']",[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Dajani has also been active in forming relationships with Jewish and Christian religious leaders and peace activists to spread the Wasatia message of understanding , tolerance , coexistence and brotherhood .","['Dajani' 'has' 'also' 'been' 'active' 'in' 'forming' 'relationships'
 'with' 'Jewish' 'and' 'Christian' 'religious' 'leaders' 'and' 'peace'
 'activists' 'to' 'spread' 'the' 'Wasatia' 'message' 'of' 'understanding'
 ',' 'tolerance' ',' 'coexistence' 'and' 'brotherhood' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"It is situated at the westernmost reaches of the Sub-Tatra Basin , more exactly its subdivision Liptov Basin , surrounded by the mountain ranges of Chočské vrchy , Greater Fatra and Low Tatras .","['It' 'is' 'situated' 'at' 'the' 'westernmost' 'reaches' 'of' 'the'
 'Sub-Tatra' 'Basin' ',' 'more' 'exactly' 'its' 'subdivision' 'Liptov'
 'Basin' ',' 'surrounded' 'by' 'the' 'mountain' 'ranges' 'of' 'Chočské'
 'vrchy' ',' 'Greater' 'Fatra' 'and' 'Low' 'Tatras' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 2 0 1 2 0]
"As of 2014 , the names of the currencies in each country have remained unchanged ( `` krona `` in Sweden , `` krone `` in Norway and Denmark ) .","['As' 'of' '2014' ',' 'the' 'names' 'of' 'the' 'currencies' 'in' 'each'
 'country' 'have' 'remained' 'unchanged' '(' '``' 'krona' '``' 'in'
 'Sweden' ',' '``' 'krone' '``' 'in' 'Norway' 'and' 'Denmark' ')' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
He is single and resides in Greenwood in Sebastian County .,"['He' 'is' 'single' 'and' 'resides' 'in' 'Greenwood' 'in' 'Sebastian'
 'County' '.']",[0 0 0 0 0 0 0 0 0 0 0]
"In 1802 , Dharawal men Gogy , Budbury and Le Tonsure with Gandangara men Wooglemai and Bungin assisted Ensign Francis Barrallier in his explorations into the Blue Mountains .","['In' '1802' ',' 'Dharawal' 'men' 'Gogy' ',' 'Budbury' 'and' 'Le'
 'Tonsure' 'with' 'Gandangara' 'men' 'Wooglemai' 'and' 'Bungin' 'assisted'
 'Ensign' 'Francis' 'Barrallier' 'in' 'his' 'explorations' 'into' 'the'
 'Blue' 'Mountains' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0]
Darren Williams is best known for his novel `` Swimming in Silk `` which won the prestigious Australian/Vogel Literary Award in 1994 .,"['Darren' 'Williams' 'is' 'best' 'known' 'for' 'his' 'novel' '``'
 'Swimming' 'in' 'Silk' '``' 'which' 'won' 'the' 'prestigious'
 'Australian/Vogel' 'Literary' 'Award' 'in' '1994' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
